yearstart,yearend,locationabbr,locationdesc,datasource,topic,question,response,datavalueunit,datavaluetype,datavalue,datavaluealt,datavaluefootnotesymbol,datavaluefootnote,lowconfidencelimit,highconfidencelimit,stratificationcategory1,stratification1,stratificationcategory2,stratification2,stratificationcategory3,stratification3,geolocation,locationid,topicid,questionid,responseid,datavaluetypeid,stratificationcategoryid1,stratificationid1,stratificationcategoryid2,stratificationid2,stratificationcategoryid3,stratificationid3
2019,2019,MD,Maryland,NVSS,Asthma,"Asthma mortality among all people, underlying cause",,Number,Number,28,28,,,,,Age,Age >=65,,,,,POINT (-76.60926011099963 39.29058096400047),24,AST,AST01,,NMBR,AGE,AGE65P,,,,
2019,2019,MD,Maryland,BRFSS,Mental Health,Depression among adults,,%,Crude Prevalence,19.2,19.2,,,18,20.4,Sex,Female,,,,,POINT (-76.60926011099963 39.29058096400047),24,MEN,MEN02,,CRDPREV,SEX,SEXF,,,,
2019,2019,MI,Michigan,NVSS,Health Status,Life expectancy at birth,,Years,Number,80.3,80.3,,,80.2,80.4,Sex,Female,,,,,POINT (-84.71439026999968 44.6613195430005),26,HEA,HEA06,,NMBR,SEX,SEXF,,,,
2019,2019,MN,Minnesota,NVSS,Asthma,"Asthma mortality among all people, underlying cause",,Number,Number,44,44,,,,,Sex,Female,,,,,POINT (-94.79420050299967 46.35564873600049),27,AST,AST01,,NMBR,SEX,SEXF,,,,
2019,2019,MS,Mississippi,BRFSS,Arthritis,Severe joint pain among adults with arthritis,,%,Crude Prevalence,37.6,37.6,,,32.9,42.7,Sex,Male,,,,,POINT (-89.53803082499968 32.745510099000455),28,ART,ART03,,CRDPREV,SEX,SEXM,,,,
2019,2019,MO,Missouri,BRFSS,Tobacco,Current cigarette smoking among adults,,%,Crude Prevalence,20.6,20.6,,,18.7,22.6,Sex,Male,,,,,POINT (-92.56630005299968 38.635790776000476),29,TOB,TOB04,,CRDPREV,SEX,SEXM,,,,
2019,2019,NE,Nebraska,BRFSS,Diabetes,Diabetes among adults,,%,Crude Prevalence,9.4,9.4,,,8.7,10.3,Sex,Female,,,,,POINT (-99.36572062299967 41.6410409880005),31,DIA,DIA01,,CRDPREV,SEX,SEXF,,,,
2019,2019,NE,Nebraska,NVSS,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",,Number,Number,992,992,,,,,Sex,Female,,,,,POINT (-99.36572062299967 41.6410409880005),31,DIA,DIA03,,NMBR,SEX,SEXF,,,,
2019,2019,NV,Nevada,YRBSS,Alcohol,Alcohol use among high school students,,%,Crude Prevalence,29,29,,,24.3,34.2,Grade,Grade 11,,,,,POINT (-117.07184056399967 39.493240390000494),32,ALC,ALC01,,CRDPREV,GRADE,GRD11,,,,
2019,2019,NV,Nevada,BRFSS,Arthritis,Arthritis among adults,,%,Crude Prevalence,46.1,46.1,,,41.3,51,Age,Age >=65,,,,,POINT (-117.07184056399967 39.493240390000494),32,ART,ART01,,CRDPREV,AGE,AGE65P,,,,
2019,2019,NV,Nevada,BRFSS,Asthma,Current asthma among adults,,%,Crude Prevalence,7.1,7.1,,,5.6,9,Sex,Male,,,,,POINT (-117.07184056399967 39.493240390000494),32,AST,AST02,,CRDPREV,SEX,SEXM,,,,
2019,2019,NH,New Hampshire,BRFSS,Arthritis,Arthritis among adults,,%,Crude Prevalence,22.7,22.7,,,20.7,24.8,Sex,Male,,,,,POINT (-71.50036091999965 43.65595011300047),33,ART,ART01,,CRDPREV,SEX,SEXM,,,,
2019,2019,NH,New Hampshire,BRFSS,Disability,Adults with any disability,,%,Crude Prevalence,24.4,24.4,,,22.2,26.8,Sex,Male,,,,,POINT (-71.50036091999965 43.65595011300047),33,DIS,DIS01,,CRDPREV,SEX,SEXM,,,,
2019,2019,NJ,New Jersey,NVSS,Asthma,"Asthma mortality among all people, underlying cause",,Number,Number,66,66,,,,,Sex,Female,,,,,POINT (-74.27369128799967 40.13057004800049),34,AST,AST01,,NMBR,SEX,SEXF,,,,
2019,2019,NJ,New Jersey,BRFSS,Diabetes,Diabetes among adults,,%,Crude Prevalence,,,*,No data available,,,Sex,Male,,,,,POINT (-74.27369128799967 40.13057004800049),34,DIA,DIA01,,CRDPREV,SEX,SEXM,,,,
2019,2019,NY,New York,BRFSS,Alcohol,Binge drinking prevalence among adults,,%,Crude Prevalence,20.8,20.8,,,19.3,22.3,Sex,Male,,,,,POINT (-75.54397042699964 42.82700103200045),36,ALC,ALC06,,CRDPREV,SEX,SEXM,,,,
2019,2019,NY,New York,BRFSS,Arthritis,Physical inactivity among adults with arthritis,,%,Crude Prevalence,26.8,26.8,,,23.7,30.2,Sex,Male,,,,,POINT (-75.54397042699964 42.82700103200045),36,ART,ART05,,CRDPREV,SEX,SEXM,,,,
2019,2019,NC,North Carolina,NVSS,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",,Number,Number,4834,4834,,,,,Sex,Male,,,,,POINT (-79.15925046299964 35.466220975000454),37,DIA,DIA03,,NMBR,SEX,SEXM,,,,
2019,2019,NC,North Carolina,BRFSS,Mental Health,Depression among adults,,%,Crude Prevalence,15.1,15.1,,,13.3,17.1,Sex,Male,,,,,POINT (-79.15925046299964 35.466220975000454),37,MEN,MEN02,,CRDPREV,SEX,SEXM,,,,
2019,2019,ND,North Dakota,BRFSS,Asthma,Current asthma among adults,,%,Crude Prevalence,10.5,10.5,,,8.6,12.7,Age,Age 18-44,,,,,POINT (-100.11842104899966 47.47531977900047),38,AST,AST02,,CRDPREV,AGE,AGE1844,,,,
2019,2019,ND,North Dakota,BRFSS,Disability,Adults with any disability,,%,Crude Prevalence,23.1,23.1,,,21.1,25.3,Sex,Male,,,,,POINT (-100.11842104899966 47.47531977900047),38,DIS,DIS01,,CRDPREV,SEX,SEXM,,,,
2019,2019,OK,Oklahoma,BRFSS,Arthritis,Arthritis among adults,,%,Age-adjusted Prevalence,27.7,27.7,,,26.1,29.4,Sex,Female,,,,,POINT (-97.52107021399968 35.47203135600046),40,ART,ART01,,AGEADJPREV,SEX,SEXF,,,,
2019,2019,OK,Oklahoma,BRFSS,Diabetes,Diabetes among adults,,%,Crude Prevalence,11.8,11.8,,,8.7,15.8,Race/Ethnicity,Hispanic,,,,,POINT (-97.52107021399968 35.47203135600046),40,DIA,DIA01,,CRDPREV,RACE,HIS,,,,
2019,2019,OK,Oklahoma,BRFSS,Disability,Adults with any disability,,%,Crude Prevalence,35,35,,,32.8,37.2,Sex,Male,,,,,POINT (-97.52107021399968 35.47203135600046),40,DIS,DIS01,,CRDPREV,SEX,SEXM,,,,
2019,2019,OK,Oklahoma,BRFSS,Mental Health,Depression among adults,,%,Crude Prevalence,23,23,,,21.6,24.4,Overall,Overall,,,,,POINT (-97.52107021399968 35.47203135600046),40,MEN,MEN02,,CRDPREV,OVERALL,OVR,,,,
2019,2019,OK,Oklahoma,YRBSS,Sleep,Short sleep duration among high school students,,%,Crude Prevalence,83,83,,,77.7,87.3,Grade,Grade 11,,,,,POINT (-97.52107021399968 35.47203135600046),40,SLEP,SLP02,,CRDPREV,GRADE,GRD11,,,,
2019,2019,OR,Oregon,BRFSS,Tobacco,Current cigarette smoking among adults,,%,Crude Prevalence,15.4,15.4,,,13.9,17.1,Sex,Male,,,,,POINT (-120.15503132599969 44.56744942400047),41,TOB,TOB04,,CRDPREV,SEX,SEXM,,,,
2019,2019,PR,Puerto Rico,YRBSS,Alcohol,Alcohol use among high school students,,%,Crude Prevalence,26.4,26.4,,,21.3,32.2,Sex,Male,,,,,POINT (-66.590149 18.220833),72,ALC,ALC01,,CRDPREV,SEX,SEXM,,,,
2019,2019,PR,Puerto Rico,BRFSS,Immunization,Influenza vaccination among adults,,%,Crude Prevalence,27.3,27.3,,,25.1,29.7,Sex,Male,,,,,POINT (-66.590149 18.220833),72,IMM,IMM01,,CRDPREV,SEX,SEXM,,,,
2019,2019,RI,Rhode Island,BRFSS,Diabetes,Diabetes among adults,,%,Crude Prevalence,21.4,21.4,,,19.2,23.7,Age,Age >=65,,,,,POINT (-71.52247031399963 41.70828019300046),44,DIA,DIA01,,CRDPREV,AGE,AGE65P,,,,
2019,2019,RI,Rhode Island,BRFSS,Tobacco,Current cigarette smoking among adults,,%,Crude Prevalence,15.3,15.3,,,13.3,17.6,Sex,Male,,,,,POINT (-71.52247031399963 41.70828019300046),44,TOB,TOB04,,CRDPREV,SEX,SEXM,,,,
2019,2019,SD,South Dakota,BRFSS,Asthma,Current asthma among adults,,%,Crude Prevalence,9.2,9.2,,,7.8,10.9,Overall,Overall,,,,,POINT (-100.3735306369997 44.353130053000484),46,AST,AST02,,CRDPREV,OVERALL,OVR,,,,
2019,2019,TX,Texas,BRFSS,Disability,Adults with any disability,,%,Crude Prevalence,28.1,28.1,,,26.6,29.7,Overall,Overall,,,,,POINT (-99.42677020599967 31.827240407000488),48,DIS,DIS01,,CRDPREV,OVERALL,OVR,,,,
2019,2019,US,United States,BRFSS,Arthritis,Physical inactivity among adults with arthritis,,%,Crude Prevalence,27,27,,,25.6,28.5,Age,Age 18-44,,,,,,59,ART,ART05,,CRDPREV,AGE,AGE1844,,,,
2019,2019,US,United States,NVSS,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",,Number,Number,157805,157805,,,,,Sex,Male,,,,,,59,DIA,DIA03,,NMBR,SEX,SEXM,,,,
2019,2019,VT,Vermont,BRFSS,Alcohol,Binge drinking intensity among adults who binge drink,,Number,Crude 75th percentile,7.7,7.7,,,7,8.7,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-72.51764079099962 43.62538123900049),50,ALC,ALC05,,CRD75TH,RACE,WHT,,,,
2019,2019,VI,Virgin Islands,BRFSS,Diabetes,Diabetes among adults,,%,Crude Prevalence,,,*,No data available,,,Age,Age >=65,,,,,POINT (-64.896335 18.335765),78,DIA,DIA01,,CRDPREV,AGE,AGE65P,,,,
2020,2020,ME,Maine,BRFSS,Mental Health,Depression among adults,,%,Crude Prevalence,16,16,,,14.4,17.8,Sex,Male,,,,,POINT (-68.98503133599962 45.254228894000505),23,MEN,MEN02,,CRDPREV,SEX,SEXM,,,,
2020,2020,NE,Nebraska,BRFSS,Tobacco,Current cigarette smoking among adults,,%,Crude Prevalence,15.6,15.6,,,14.3,16.9,Sex,Male,,,,,POINT (-99.36572062299967 41.6410409880005),31,TOB,TOB04,,CRDPREV,SEX,SEXM,,,,
2020,2020,NV,Nevada,NVSS,Alcohol,"Chronic liver disease mortality among all people, underlying cause",,Number,Number,98,98,,,,,Race/Ethnicity,Hispanic,,,,,POINT (-117.07184056399967 39.493240390000494),32,ALC,ALC09,,NMBR,RACE,HIS,,,,
2020,2020,NV,Nevada,BRFSS,Asthma,Current asthma among adults,,%,Crude Prevalence,8,8,,,6.1,10.5,Age,Age 18-44,,,,,POINT (-117.07184056399967 39.493240390000494),32,AST,AST02,,CRDPREV,AGE,AGE1844,,,,
2020,2020,NH,New Hampshire,BRFSS,Disability,Adults with any disability,,%,Crude Prevalence,16.9,16.9,,,14.4,19.8,Age,Age 18-44,,,,,POINT (-71.50036091999965 43.65595011300047),33,DIS,DIS01,,CRDPREV,AGE,AGE1844,,,,
2020,2020,NM,New Mexico,BRFSS,Tobacco,Current cigarette smoking among adults,,%,Crude Prevalence,18.9,18.9,,,16.5,21.4,Sex,Male,,,,,POINT (-106.24058098499967 34.52088095200048),35,TOB,TOB04,,CRDPREV,SEX,SEXM,,,,
2020,2020,NY,New York,BRFSS,Tobacco,Current cigarette smoking among adults,,%,Crude Prevalence,15.3,15.3,,,13.9,16.7,Age,Age 45-64,,,,,POINT (-75.54397042699964 42.82700103200045),36,TOB,TOB04,,CRDPREV,AGE,AGE4564,,,,
2020,2020,NY,New York,BRFSS,Tobacco,Current cigarette smoking among adults,,%,Age-adjusted Prevalence,14.7,14.7,,,13.4,16,Sex,Male,,,,,POINT (-75.54397042699964 42.82700103200045),36,TOB,TOB04,,AGEADJPREV,SEX,SEXM,,,,
2020,2020,NC,North Carolina,NVSS,Asthma,"Asthma mortality among all people, underlying cause",,Number,Number,47,47,,,,,Sex,Male,,,,,POINT (-79.15925046299964 35.466220975000454),37,AST,AST01,,NMBR,SEX,SEXM,,,,
2020,2020,ND,North Dakota,BRFSS,Health Status,2 or more chronic conditions among adults,,%,Crude Prevalence,14.7,14.7,,,13,16.5,Sex,Male,,,,,POINT (-100.11842104899966 47.47531977900047),38,HEA,HEA05,,CRDPREV,SEX,SEXM,,,,
2020,2020,OH,Ohio,NVSS,Asthma,"Asthma mortality among all people, underlying cause",,Number,Number,49,49,,,,,Age,Age 45-64,,,,,POINT (-82.40426005599966 40.06021014100048),39,AST,AST01,,NMBR,AGE,AGE4564,,,,
2020,2020,OH,Ohio,BRFSS,Asthma,Current asthma among adults,,%,Crude Prevalence,11.3,11.3,,,10.2,12.5,Age,Age 45-64,,,,,POINT (-82.40426005599966 40.06021014100048),39,AST,AST02,,CRDPREV,AGE,AGE4564,,,,
2020,2020,OH,Ohio,BRFSS,Oral Health,No teeth lost among adults aged 18-64 years,,%,Crude Prevalence,64.1,64.1,,,62.2,65.9,Sex,Female,,,,,POINT (-82.40426005599966 40.06021014100048),39,ORH,ORH01,,CRDPREV,SEX,SEXF,,,,
2020,2020,OR,Oregon,BRFSS,Sleep,Short sleep duration among adults,,%,Crude Prevalence,29.8,29.8,,,27.8,32,Sex,Male,,,,,POINT (-120.15503132599969 44.56744942400047),41,SLEP,SLP03,,CRDPREV,SEX,SEXM,,,,
2020,2020,PA,Pennsylvania,NVSS,Asthma,"Asthma mortality among all people, underlying cause",,Number,Number,73,73,,,,,Age,Age >=65,,,,,POINT (-77.86070029399963 40.79373015200048),42,AST,AST01,,NMBR,AGE,AGE65P,,,,
2020,2020,PA,Pennsylvania,BRFSS,Immunization,Influenza vaccination among adults,,%,Crude Prevalence,50.1,50.1,,,48.3,52,Overall,Overall,,,,,POINT (-77.86070029399963 40.79373015200048),42,IMM,IMM01,,CRDPREV,OVERALL,OVR,,,,
2020,2020,PR,Puerto Rico,BRFSS,Health Status,Recent activity limitation among adults,,Number,Crude Mean,2,2,,,1.7,2.2,Sex,Female,,,,,POINT (-66.590149 18.220833),72,HEA,HEA04,,CRDMEAN,SEX,SEXF,,,,
2020,2020,PR,Puerto Rico,BRFSS,Tobacco,Current cigarette smoking among adults,,%,Age-adjusted Prevalence,10.5,10.5,,,9.1,12,Overall,Overall,,,,,POINT (-66.590149 18.220833),72,TOB,TOB04,,AGEADJPREV,OVERALL,OVR,,,,
2020,2020,RI,Rhode Island,BRFSS,Diabetes,Diabetes among adults,,%,Crude Prevalence,10.9,10.9,,,9.4,12.6,Sex,Male,,,,,POINT (-71.52247031399963 41.70828019300046),44,DIA,DIA01,,CRDPREV,SEX,SEXM,,,,
2020,2020,TN,Tennessee,BRFSS,Disability,Adults with any disability,,%,Crude Prevalence,33.9,33.9,,,30.8,37.1,Age,Age 45-64,,,,,POINT (-85.77449091399967 35.68094058000048),47,DIS,DIS01,,CRDPREV,AGE,AGE4564,,,,
2020,2020,TX,Texas,NVSS,Asthma,"Asthma mortality among all people, underlying cause",,Number,Number,136,136,,,,,Sex,Female,,,,,POINT (-99.42677020599967 31.827240407000488),48,AST,AST01,,NMBR,SEX,SEXF,,,,
2020,2020,TX,Texas,BRFSS,Disability,Adults with any disability,,%,Crude Prevalence,24.7,24.7,,,22.4,27,Sex,Male,,,,,POINT (-99.42677020599967 31.827240407000488),48,DIS,DIS01,,CRDPREV,SEX,SEXM,,,,
2020,2020,US,United States,BRFSS,Disability,Adults with any disability,,%,Crude Prevalence,26.7,26.7,,,26.1,27.3,Age,Age 45-64,,,,,,59,DIS,DIS01,,CRDPREV,AGE,AGE4564,,,,
2020,2020,US,United States,BRFSS,Health Status,Fair or poor self-rated health status among adults,,%,Crude Prevalence,13.5,13.5,,,13.2,13.9,Sex,Male,,,,,,59,HEA,HEA01,,CRDPREV,SEX,SEXM,,,,
2020,2020,US,United States,BRFSS,Oral Health,All teeth lost among adults aged 65 years and older,,%,Crude Prevalence,13.4,13.4,,,12.6,14.1,Sex,Male,,,,,,59,ORH,ORH03,,CRDPREV,SEX,SEXM,,,,
2020,2020,UT,Utah,BRFSS,Mental Health,Depression among adults,,%,Crude Prevalence,30.1,30.1,,,28.6,31.7,Sex,Female,,,,,POINT (-111.58713063499971 39.360700171000474),49,MEN,MEN02,,CRDPREV,SEX,SEXF,,,,
2020,2020,VT,Vermont,NVSS,Alcohol,"Chronic liver disease mortality among all people, underlying cause",,Number,Number,44,44,,,,,Age,Age 45-64,,,,,POINT (-72.51764079099962 43.62538123900049),50,ALC,ALC09,,NMBR,AGE,AGE4564,,,,
2020,2020,VT,Vermont,NVSS,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",,Number,Number,895,895,,,,,Overall,Overall,,,,,POINT (-72.51764079099962 43.62538123900049),50,DIA,DIA03,,NMBR,OVERALL,OVR,,,,
2020,2020,VA,Virginia,NVSS,Asthma,"Asthma mortality among all people, underlying cause",,Number,Number,51,51,,,,,Age,Age >=65,,,,,POINT (-78.45789046299967 37.54268067400045),51,AST,AST01,,NMBR,AGE,AGE65P,,,,
2020,2020,WV,West Virginia,BRFSS,Asthma,Current asthma among adults,,%,Crude Prevalence,13.8,13.8,,,11.8,16,Age,Age 18-44,,,,,POINT (-80.71264013499967 38.66551020200046),54,AST,AST02,,CRDPREV,AGE,AGE1844,,,,
2020,2020,WV,West Virginia,BRFSS,Diabetes,Diabetes among adults,,%,Crude Prevalence,17.2,17.2,,,11.5,24.8,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-80.71264013499967 38.66551020200046),54,DIA,DIA01,,CRDPREV,RACE,BLK,,,,
2020,2020,WI,Wisconsin,BRFSS,Mental Health,Depression among adults,,%,Crude Prevalence,26.5,26.5,,,24.1,29.1,Sex,Female,,,,,POINT (-89.81637074199966 44.39319117400049),55,MEN,MEN02,,CRDPREV,SEX,SEXF,,,,
2020,2020,WY,Wyoming,NVSS,Alcohol,"Chronic liver disease mortality among all people, underlying cause",,Number,Number,103,103,,,,,Sex,Male,,,,,POINT (-108.10983035299967 43.23554134300048),56,ALC,ALC09,,NMBR,SEX,SEXM,,,,
2021,2021,AL,Alabama,BRFSS,Asthma,Current asthma among adults,,%,Age-adjusted Prevalence,14.2,14.2,,,12.3,16.4,Sex,Female,,,,,POINT (-86.63186076199969 32.84057112200048),1,AST,AST02,,AGEADJPREV,SEX,SEXF,,,,
2021,2021,AL,Alabama,BRFSS,Diabetes,Diabetes among adults,,%,Age-adjusted Prevalence,13.7,13.7,,,12.1,15.4,Sex,Female,,,,,POINT (-86.63186076199969 32.84057112200048),1,DIA,DIA01,,AGEADJPREV,SEX,SEXF,,,,
2021,2021,AL,Alabama,BRFSS,Disability,Adults with any disability,,%,Age-adjusted Prevalence,29.6,29.6,,,26.8,32.5,Sex,Male,,,,,POINT (-86.63186076199969 32.84057112200048),1,DIS,DIS01,,AGEADJPREV,SEX,SEXM,,,,
2021,2021,AL,Alabama,BRFSS,Mental Health,Depression among adults,,%,Age-adjusted Prevalence,27.4,27.4,,,17.8,39.7,Race/Ethnicity,Hispanic,,,,,POINT (-86.63186076199969 32.84057112200048),1,MEN,MEN02,,AGEADJPREV,RACE,HIS,,,,
2021,2021,AR,Arkansas,BRFSS,Asthma,Current asthma among adults,,%,Crude Prevalence,8,8,,,6.5,9.8,Sex,Male,,,,,POINT (-92.27449074299966 34.74865012400045),5,AST,AST02,,CRDPREV,SEX,SEXM,,,,
2021,2021,AR,Arkansas,BRFSS,Health Status,Frequent physical distress among adults,,%,Crude Prevalence,14.6,14.6,,,13.4,16,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),5,HEA,HEA03,,CRDPREV,OVERALL,OVR,,,,
2021,2021,AR,Arkansas,BRFSS,Health Status,Recent activity limitation among adults,,Number,Crude Mean,3.4,3.4,,,2.9,3.9,Sex,Male,,,,,POINT (-92.27449074299966 34.74865012400045),5,HEA,HEA04,,CRDMEAN,SEX,SEXM,,,,
2021,2021,CA,California,BRFSS,Health Status,Frequent physical distress among adults,,%,Crude Prevalence,9.1,9.1,,,8,10.4,Sex,Male,,,,,POINT (-120.99999953799971 37.63864012300047),6,HEA,HEA03,,CRDPREV,SEX,SEXM,,,,
2021,2021,DE,Delaware,BRFSS,Arthritis,Arthritis among adults,,%,Crude Prevalence,31.9,31.9,,,29.3,34.6,Sex,Female,,,,,POINT (-75.57774116799965 39.008830667000495),10,ART,ART01,,CRDPREV,SEX,SEXF,,,,
2021,2021,FL,Florida,BRFSS,Arthritis,Physical inactivity among adults with arthritis,,%,Crude Prevalence,,,*,No data available,,,Sex,Male,,,,,POINT (-81.92896053899966 28.932040377000476),12,ART,ART05,,CRDPREV,SEX,SEXM,,,,
2021,2021,FL,Florida,BRFSS,Disability,Adults with any disability,,%,Crude Prevalence,,,*,No data available,,,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-81.92896053899966 28.932040377000476),12,DIS,DIS01,,CRDPREV,RACE,WHT,,,,
2021,2021,FL,Florida,BRFSS,Mental Health,Depression among adults,,%,Crude Prevalence,,,*,No data available,,,Race/Ethnicity,Hispanic,,,,,POINT (-81.92896053899966 28.932040377000476),12,MEN,MEN02,,CRDPREV,RACE,HIS,,,,
2021,2021,GA,Georgia,BRFSS,Health Status,Recent activity limitation among adults,,Number,Crude Mean,3,3,,,2.7,3.4,Sex,Female,,,,,POINT (-83.62758034599966 32.83968109300048),13,HEA,HEA04,,CRDMEAN,SEX,SEXF,,,,
2021,2021,GU,Guam,BRFSS,Arthritis,Physical inactivity among adults with arthritis,,%,Crude Prevalence,48.5,48.5,,,29.9,67.6,Age,Age 45-64,,,,,POINT (144.793731 13.444304),66,ART,ART05,,CRDPREV,AGE,AGE4564,,,,
2021,2021,GU,Guam,BRFSS,Asthma,Current asthma among adults,,%,Age-adjusted Prevalence,4.7,4.7,,,3,7.1,Sex,Male,,,,,POINT (144.793731 13.444304),66,AST,AST02,,AGEADJPREV,SEX,SEXM,,,,
2021,2021,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults,,%,Crude Prevalence,42,42,,,33.3,51.3,Age,Age 45-64,,,,,POINT (144.793731 13.444304),66,NPAW,NPW14,,CRDPREV,AGE,AGE4564,,,,
2021,2021,HI,Hawaii,BRFSS,Arthritis,Physical inactivity among adults with arthritis,,%,Crude Prevalence,22.9,22.9,,,18.9,27.5,Sex,Male,,,,,POINT (-157.85774940299973 21.304850435000446),15,ART,ART05,,CRDPREV,SEX,SEXM,,,,
2021,2021,IN,Indiana,BRFSS,Diabetes,Diabetes among adults,,%,Crude Prevalence,12.9,12.9,,,11.9,14,Sex,Male,,,,,POINT (-86.14996019399968 39.766910452000445),18,DIA,DIA01,,CRDPREV,SEX,SEXM,,,,
2021,2021,IA,Iowa,BRFSS,Mental Health,Depression among adults,,%,Crude Prevalence,12,12,,,10.8,13.3,Sex,Male,,,,,POINT (-93.81649055599968 42.46940091300047),19,MEN,MEN02,,CRDPREV,SEX,SEXM,,,,
2021,2021,US,United States,YRBSS,Alcohol,Alcohol use among high school students,,%,Crude Prevalence,22.9,22.9,,,19.8,26.2,Race/Ethnicity,Hispanic,,,,,,59,ALC,ALC01,,CRDPREV,RACE,HIS,,,,
2021,2021,US,United States,BRFSS,Health Status,Fair or poor self-rated health status among adults,,%,Crude Prevalence,15.5,15.5,,,15.2,15.9,Sex,Male,,,,,,59,HEA,HEA01,,CRDPREV,SEX,SEXM,,,,
2022,2022,LA,Louisiana,BRFSS,Asthma,Current asthma among adults,,%,Crude Prevalence,6.9,6.9,,,5.6,8.4,Sex,Male,,,,,POINT (-92.44568007099969 31.31266064400046),22,AST,AST02,,CRDPREV,SEX,SEXM,,,,
2022,2022,MS,Mississippi,BRFSS,Arthritis,Arthritis among adults,,%,Age-adjusted Prevalence,30.9,30.9,,,29.3,32.6,Overall,Overall,,,,,POINT (-89.53803082499968 32.745510099000455),28,ART,ART01,,AGEADJPREV,OVERALL,OVR,,,,
2022,2022,MS,Mississippi,BRFSS,Asthma,Current asthma among adults,,%,Crude Prevalence,7.3,7.3,,,5.7,9.2,Sex,Male,,,,,POINT (-89.53803082499968 32.745510099000455),28,AST,AST02,,CRDPREV,SEX,SEXM,,,,
